CUSTOMER_CODE,FIRSTNAME,LASTNAME,INVOICE_CODE,AMOUNT,DATE,ITEM_CODE,QUANTITY
,Julie,Young,10145,100,8/25/2003 0:00,S10_2016,37
,Julie,Brown,10159,100,10/10/03 0:00,S10_2016,37
,Juri,Hirano,10168,100,10/28/2003 0:00,S10_2016,27
,Martine,Rance,10180,100,11/11/03 0:00,S10_2016,42
,Veysel,Oeztan,10188,96.34,11/18/2003 0:00,S10_2016,38
,Julie,Murphy,10201,100,12/01/03 0:00,S10_2016,24
,Mory,Kentary,10210,100,01/12/04 0:00,S10_2016,23
,Peter,Ferguson,10223,100,2/20/2004 0:00,S10_2016,47
,Rosa,Hernandez,10236,100,04/03/04 0:00,S10_2016,22
,William,Brown,10251,100,5/18/2004 0:00,S10_2016,44
,Julie,King,10263,100,6/28/2004 0:00,S10_2016,40
,Janine,Labrune,10275,100,7/23/2004 0:00,S10_2016,22
,Marta,Hernandez,10285,100,8/27/2004 0:00,S10_2016,47
,Carine,Schmitt,10298,96.34,9/27/2004 0:00,S10_2016,39
,Steve,Frick,10308,100,10/15/2004 0:00,S10_2016,34
,Kyung,Yu,10318,100,11/02/04 0:00,S10_2016,45
,Kwai,Yu,10329,100,11/15/2004 0:00,S10_2016,20
,Akiko,Shimamura,10339,68.92,11/23/2004 0:00,S10_2016,40
,Adrian,Huxley,10361,51.15,12/17/2004 0:00,S10_2016,26
,Tony,Calaghan,10374,100,02/02/05 0:00,S10_2016,39
,Violeta,Benitez,10388,44.51,03/03/05 0:00,S10_2016,50
,Dominique,Perrier,10402,100,04/07/05 0:00,S10_2016,45
,Diego,Freyre,10417,100,5/13/2005 0:00,S10_2016,45
,Kwai,Yu,10107,100,2/24/2003 0:00,S10_4698,27
,Peter,Ferguson,10120,100,4/29/2003 0:00,S10_4698,46
,Daniel,Da Cunha,10134,100,07/01/03 0:00,S10_4698,31
,Julie,Young,10145,100,8/25/2003 0:00,S10_4698,33
,Julie,Brown,10159,100,10/10/03 0:00,S10_4698,22
,Juri,Hirano,10168,100,10/28/2003 0:00,S10_4698,20
,Martine,Rance,10180,100,11/11/03 0:00,S10_4698,41
,Veysel,Oeztan,10188,100,11/18/2003 0:00,S10_4698,45
,Julie,Murphy,10201,100,12/01/03 0:00,S10_4698,49
,Mory,Kentary,10210,100,01/12/04 0:00,S10_4698,34
,Peter,Ferguson,10223,100,2/20/2004 0:00,S10_4698,49
,Michael,Frick,10237,100,04/05/04 0:00,S10_4698,39
,William,Brown,10251,100,5/18/2004 0:00,S10_4698,43
,Julie,King,10263,100,6/28/2004 0:00,S10_4698,41
,Janine,Labrune,10275,100,7/23/2004 0:00,S10_4698,36
,Marta,Hernandez,10285,100,8/27/2004 0:00,S10_4698,27
,Matti,Karttunen,10299,100,9/30/2004 0:00,S10_4698,29
,Steve,Frick,10308,100,10/15/2004 0:00,S10_4698,20
,Kyung,Yu,10318,100,11/02/04 0:00,S10_4698,37
,Kwai,Yu,10329,100,11/15/2004 0:00,S10_4698,26
,Akiko,Shimamura,10339,76.67,11/23/2004 0:00,S10_4698,39
,Juri,Hirano,10362,100,01/05/05 0:00,S10_4698,22
,Tony,Calaghan,10374,100,02/02/05 0:00,S10_4698,22
,Violeta,Benitez,10388,86.77,03/03/05 0:00,S10_4698,21
,Elizabeth,Devon,10403,100,04/08/05 0:00,S10_4698,66
,Diego,Freyre,10417,100,5/13/2005 0:00,S10_4698,56
,Jytte,Petersen,10105,100,02/11/03 0:00,S10_4757,50
,Georg,Pipps,10119,100,4/28/2003 0:00,S10_4757,46
,Ann,Brown,10129,100,06/12/03 0:00,S10_4757,33
,Wing C,Tam,10143,100,08/10/03 0:00,S10_4757,49
,Matti,Karttunen,10155,100,10/06/03 0:00,S10_4757,32
,Maria,Larsson,10167,100,10/23/2003 0:00,S10_4757,44
,Annette,Roulet,10178,100,11/08/03 0:00,S10_4757,24
,Thomas,Hardy,10186,100,11/14/2003 0:00,S10_4757,26
,Eduardo,Saavedra,10197,100,11/26/2003 0:00,S10_4757,45
,Michael,Chandler,10209,100,01/09/04 0:00,S10_4757,39
,Valarie,Thompson,10222,100,2/19/2004 0:00,S10_4757,49
,Kwai,Yu,10248,100,05/07/04 0:00,S10_4757,20
,Jean,Fresnisre,10261,100,6/17/2004 0:00,S10_4757,27
,Catherine,Dewey,10273,100,7/21/2004 0:00,S10_4757,30
,Elizabeth,Lincoln,10283,100,8/20/2004 0:00,S10_4757,25
,Juri,Yoshido,10295,100,09/10/04 0:00,S10_4757,24
,Francisca,Cervantes,10307,100,10/14/2004 0:00,S10_4757,22
,Helen,Bennett,10316,100,11/01/04 0:00,S10_4757,33
,Jonas,Bergulfsen,10325,64.93,11/05/04 0:00,S10_4757,47
,Maria,Hernandez,10337,48.05,11/21/2004 0:00,S10_4757,25
,Diego,Freyre,10350,75.47,12/02/04 0:00,S10_4757,26
,Paul,Henriot,10359,54.68,12/15/2004 0:00,S10_4757,48
,Pirkko,Koskitalo,10373,100,1/31/2005 0:00,S10_4757,39
,Julie,Brown,10384,100,2/23/2005 0:00,S10_4757,34
,Daniel,Da Cunha,10395,100,3/17/2005 0:00,S10_4757,32
,Sue,Frick,10400,100,04/01/05 0:00,S10_4757,64
,Juri,Yoshido,10414,100,05/06/05 0:00,S10_4757,19
,Jonas,Bergulfsen,10103,100,1/29/2003 0:00,S10_4962,42
,Marie,Bertrand,10114,100,04/01/03 0:00,S10_4962,31
,Mart¡n,Sommer,10126,100,5/28/2003 0:00,S10_4962,22
,Juri,Hirano,10140,100,7/24/2003 0:00,S10_4962,26
,Eric,Natividad,10150,100,9/19/2003 0:00,S10_4962,20
,Roland,Mendel,10164,100,10/21/2003 0:00,S10_4962,21
,Ann,Brown,10175,100,11/06/03 0:00,S10_4962,33
,Francisca,Cervantes,10183,100,11/13/2003 0:00,S10_4962,28
,Mary,Saveley,10194,100,11/25/2003 0:00,S10_4962,26
,Valarie,Franco,10207,100,12/09/03 0:00,S10_4962,31
,Wendy,Victorino,10217,100,02/04/04 0:00,S10_4962,48
,Valarie,Nelson,10229,100,03/11/04 0:00,S10_4962,50
,Leslie,Murphy,10245,100,05/04/04 0:00,S10_4962,28
,Wendy,Victorino,10259,100,6/15/2004 0:00,S10_4962,26
,Adrian,Huxley,10270,100,7/19/2004 0:00,S10_4962,32
,Kyung,Yu,10281,100,8/19/2004 0:00,S10_4962,44
,Maria,Larsson,10291,100,09/08/04 0:00,S10_4962,30
,Marta,Hernandez,10305,100,10/13/2004 0:00,S10_4962,38
,Yoshi,Tannamuri,10313,100,10/22/2004 0:00,S10_4962,40
,Valarie,Young,10322,61.99,11/04/04 0:00,S10_4962,46
,Christina,Berglund,10334,100,11/19/2004 0:00,S10_4962,26
,Peter,Ferguson,10347,100,11/29/2004 0:00,S10_4962,27
,Valarie,Nelson,10357,100,12/10/04 0:00,S10_4962,43
,Anna,O'Hara,10370,65.63,1/20/2005 0:00,S10_4962,35
,Julie,Brown,10381,100,2/17/2005 0:00,S10_4962,37
,Anna,O'Hara,10391,46.9,03/09/05 0:00,S10_4962,37
,Jean,Fresnisre,10411,100,05/01/05 0:00,S10_4962,27
,Janine,Labrune,10425,100,5/31/2005 0:00,S10_4962,38
,Arnold,Cruz,10108,100,03/03/03 0:00,S12_1099,33
,Laurence,Lebihan,10122,100,05/08/03 0:00,S12_1099,42
,Valarie,Nelson,10135,100,07/02/03 0:00,S12_1099,42
,Allen,Nelson,10147,100,09/05/03 0:00,S12_1099,48
,Julie,Brown,10159,100,10/10/03 0:00,S12_1099,41
,Anna,O'Hara,10169,100,11/04/03 0:00,S12_1099,30
,Veysel,Oeztan,10181,100,11/12/03 0:00,S12_1099,27
,Henriette,Pfalzheim,10191,100,11/20/2003 0:00,S12_1099,21
,Diego,Freyre,10203,100,12/02/03 0:00,S12_1099,20
,Dominique,Perrier,10211,100,1/15/2004 0:00,S12_1099,41
,Michael,Holz,10225,100,2/22/2004 0:00,S12_1099,27
,Jytte,Petersen,10238,100,04/09/04 0:00,S12_1099,28
,Elizabeth,Devon,10253,100,06/01/04 0:00,S12_1099,24
,Maurizio,Moroni,10266,100,07/06/04 0:00,S12_1099,44
,Miguel,Barajas,10276,100,08/02/04 0:00,S12_1099,50
,Michael,Holz,10287,100,8/30/2004 0:00,S12_1099,21
,Roland,Keitel,10300,100,10/04/03 0:00,S12_1099,33
,Henriette,Pfalzheim,10310,100,10/16/2004 0:00,S12_1099,33
,Christina,Berglund,10320,100,11/03/04 0:00,S12_1099,31
,Kwai,Yu,10329,71.47,11/15/2004 0:00,S12_1099,41
,Georg,Pipps,10341,79.65,11/24/2004 0:00,S12_1099,45
,Kalle,Suominen,10363,85.39,01/06/05 0:00,S12_1099,33
,Janine,Labrune,10375,76,02/03/05 0:00,S12_1099,45
,Maria,Larsson,10389,99.04,03/03/05 0:00,S12_1099,26
,Georg,Pipps,10419,100,5/17/2005 0:00,S12_1099,12
,Jytte,Petersen,10105,100,02/11/03 0:00,S12_1108,41
,Eric,Natividad,10117,100,4/16/2003 0:00,S12_1108,33
,Jeff,Young,10127,100,06/03/03 0:00,S12_1108,46
,Valarie,Nelson,10142,100,08/08/03 0:00,S12_1108,33
,Diego,Freyre,10153,100,9/28/2003 0:00,S12_1108,20
,Eric,Natividad,10165,100,10/22/2003 0:00,S12_1108,44
,Maurizio,Moroni,10176,100,11/06/03 0:00,S12_1108,33
,Wing C,Tam,10185,100,11/14/2003 0:00,S12_1108,21
,Leslie,Murphy,10196,100,11/26/2003 0:00,S12_1108,47
,Mary,Saveley,10208,100,01/02/04 0:00,S12_1108,46
,Dean,Cassidy,10220,100,02/12/04 0:00,S12_1108,32
,Jesus,Fernandez,10231,100,3/19/2004 0:00,S12_1108,42
,Kalle,Suominen,10247,100,05/05/04 0:00,S12_1108,44
,Kyung,Yu,10272,100,7/20/2004 0:00,S12_1108,35
,Valarie,Nelson,10282,100,8/20/2004 0:00,S12_1108,41
,Paolo,Accorti,10293,100,09/09/04 0:00,S12_1108,46
,Victoria,Ashworth,10306,100,10/14/2004 0:00,S12_1108,31
,Palle,Ibsen,10314,100,10/22/2004 0:00,S12_1108,38
,Jonas,Bergulfsen,10325,64,11/05/04 0:00,S12_1108,42
,Marie,Bertrand,10336,57.22,11/20/2004 0:00,S12_1108,33
,Mart¡n,Sommer,10348,52.36,11/01/04 0:00,S12_1108,48
,Paul,Henriot,10359,100,12/15/2004 0:00,S12_1108,42
,Valarie,Nelson,10371,100,1/23/2005 0:00,S12_1108,32
,Valarie,Nelson,10382,100,2/17/2005 0:00,S12_1108,34
,Daniel,Da Cunha,10395,69.12,3/17/2005 0:00,S12_1108,33
,Julie,King,10413,100,05/05/05 0:00,S12_1108,36
,Jonas,Bergulfsen,10103,100,1/29/2003 0:00,S12_1666,27
,Valarie,Nelson,10113,100,3/26/2003 0:00,S12_1666,21
,Mart¡n,Sommer,10126,100,5/28/2003 0:00,S12_1666,21
,Juri,Hirano,10140,100,7/24/2003 0:00,S12_1666,38
,Eric,Natividad,10150,100,9/19/2003 0:00,S12_1666,30
,Roland,Mendel,10164,100,10/21/2003 0:00,S12_1666,49
,Tony,Calaghan,10174,100,11/06/03 0:00,S12_1666,43
,Francisca,Cervantes,10183,100,11/13/2003 0:00,S12_1666,41
,Mary,Saveley,10194,100,11/25/2003 0:00,S12_1666,38
,Yoshi,Tannamuri,10206,100,12/05/03 0:00,S12_1666,28
,Daniel,Tonini,10216,100,02/02/04 0:00,S12_1666,43
,Valarie,Nelson,10229,100,03/11/04 0:00,S12_1666,25
,Leslie,Murphy,10245,100,05/04/04 0:00,S12_1666,38
,Akiko,Shimamura,10258,100,6/15/2004 0:00,S12_1666,41
,Adrian,Huxley,10270,100,7/19/2004 0:00,S12_1666,28
,Kyung,Yu,10281,100,8/19/2004 0:00,S12_1666,25
,Maria,Larsson,10291,100,09/08/04 0:00,S12_1666,41
,Daniel,Tonini,10304,100,10/11/04 0:00,S12_1666,39
,Yoshi,Tannamuri,10313,100,10/22/2004 0:00,S12_1666,21
,Valarie,Young,10322,100,11/04/04 0:00,S12_1666,27
,Julie,Murphy,10333,99.21,11/18/2004 0:00,S12_1666,33
,Peter,Ferguson,10347,100,11/29/2004 0:00,S12_1666,29
,Valarie,Nelson,10357,100,12/10/04 0:00,S12_1666,49
,Anna,O'Hara,10370,100,1/20/2005 0:00,S12_1666,49
,Julie,Brown,10381,100,2/17/2005 0:00,S12_1666,20
,Anna,O'Hara,10391,63.2,03/09/05 0:00,S12_1666,39
,Jean,Fresnisre,10411,100,05/01/05 0:00,S12_1666,40
,Diego,Freyre,10424,100,5/31/2005 0:00,S12_1666,49
,Kwai,Yu,10107,100,2/24/2003 0:00,S12_2823,21
,Paul,Henriot,10121,100,05/07/03 0:00,S12_2823,50
,Daniel,Da Cunha,10134,100,07/01/03 0:00,S12_2823,20
,Julie,Young,10145,100,8/25/2003 0:00,S12_2823,49
,Julie,Brown,10159,100,10/10/03 0:00,S12_2823,38
,Anna,O'Hara,10169,100,11/04/03 0:00,S12_2823,35
,Martine,Rance,10180,100,11/11/03 0:00,S12_2823,40
,Julie,Young,10189,100,11/18/2003 0:00,S12_2823,28
,Julie,Murphy,10201,100,12/01/03 0:00,S12_2823,25
,Dominique,Perrier,10211,100,1/15/2004 0:00,S12_2823,36
,Martine,Rance,10224,100,2/21/2004 0:00,S12_2823,43
,Michael,Frick,10237,100,04/05/04 0:00,S12_2823,32
,William,Brown,10251,100,5/18/2004 0:00,S12_2823,46
,Julie,King,10263,100,6/28/2004 0:00,S12_2823,48
,Miguel,Barajas,10276,100,08/02/04 0:00,S12_2823,43
,Marta,Hernandez,10285,100,8/27/2004 0:00,S12_2823,49
,Matti,Karttunen,10299,100,9/30/2004 0:00,S12_2823,24
,Jonas,Bergulfsen,10309,100,10/15/2004 0:00,S12_2823,26
,Kee,Kuo,10319,100,11/03/04 0:00,S12_2823,30
,Kwai,Yu,10329,100,11/15/2004 0:00,S12_2823,24
,Georg,Pipps,10341,100,11/24/2004 0:00,S12_2823,55
,Juri,Hirano,10362,100,01/05/05 0:00,S12_2823,22
,Janine,Labrune,10375,78.92,02/03/05 0:00,S12_2823,49
,Violeta,Benitez,10388,100,03/03/05 0:00,S12_2823,44
,Elizabeth,Devon,10403,100,04/08/05 0:00,S12_2823,66
,Diego,Freyre,10417,100,5/13/2005 0:00,S12_2823,21
,Diego,Freyre,10104,100,1/31/2003 0:00,S12_3148,34
,Eric,Natividad,10117,100,4/16/2003 0:00,S12_3148,43
,Jeff,Young,10127,100,06/03/03 0:00,S12_3148,46
,Valarie,Nelson,10142,100,08/08/03 0:00,S12_3148,33
,Diego,Freyre,10153,100,9/28/2003 0:00,S12_3148,42
,Eric,Natividad,10165,100,10/22/2003 0:00,S12_3148,34
,Maurizio,Moroni,10176,100,11/06/03 0:00,S12_3148,47
,Wing C,Tam,10185,100,11/14/2003 0:00,S12_3148,33
,Leslie,Murphy,10196,100,11/26/2003 0:00,S12_3148,24
,Mary,Saveley,10208,100,01/02/04 0:00,S12_3148,26
,Dean,Cassidy,10220,100,02/12/04 0:00,S12_3148,30
,Roland,Keitel,10230,100,3/15/2004 0:00,S12_3148,43
,Kalle,Suominen,10247,100,05/05/04 0:00,S12_3148,25
,Kyung,Yu,10272,100,7/20/2004 0:00,S12_3148,27
,Valarie,Nelson,10282,100,8/20/2004 0:00,S12_3148,27
,Paolo,Accorti,10293,100,09/09/04 0:00,S12_3148,24
,Victoria,Ashworth,10306,100,10/14/2004 0:00,S12_3148,34
,Palle,Ibsen,10314,100,10/22/2004 0:00,S12_3148,46
,Michael,Frick,10324,54.33,11/05/04 0:00,S12_3148,27
,Marie,Bertrand,10336,100,11/20/2004 0:00,S12_3148,33
,Mart¡n,Sommer,10348,100,11/01/04 0:00,S12_3148,47
,Diego,Freyre,10358,55.34,12/10/04 0:00,S12_3148,49
,Akiko,Shimamura,10372,100,1/26/2005 0:00,S12_3148,40
,Valarie,Nelson,10382,100,2/17/2005 0:00,S12_3148,37
,Julie,King,10413,100,05/05/05 0:00,S12_3148,47
,Arnold,Cruz,10108,100,03/03/03 0:00,S12_3380,45
,Laurence,Lebihan,10122,99.82,05/08/03 0:00,S12_3380,37
,Valarie,Nelson,10135,100,07/02/03 0:00,S12_3380,48
,Allen,Nelson,10147,100,09/05/03 0:00,S12_3380,31
,Michael,Chandler,10160,100,10/11/03 0:00,S12_3380,46
,Roland,Mendel,10170,100,11/04/03 0:00,S12_3380,47
,Veysel,Oeztan,10181,100,11/12/03 0:00,S12_3380,28
,Henriette,Pfalzheim,10191,100,11/20/2003 0:00,S12_3380,40
,Diego,Freyre,10203,100,12/02/03 0:00,S12_3380,20
,Diego,Freyre,10212,100,1/16/2004 0:00,S12_3380,39
,Michael,Holz,10225,99.82,2/22/2004 0:00,S12_3380,25
,Jytte,Petersen,10238,100,04/09/04 0:00,S12_3380,29
,Elizabeth,Devon,10253,100,06/01/04 0:00,S12_3380,22
,Maurizio,Moroni,10266,100,07/06/04 0:00,S12_3380,22
,Miguel,Barajas,10276,100,08/02/04 0:00,S12_3380,47
,Michael,Holz,10287,100,8/30/2004 0:00,S12_3380,45
,Roland,Keitel,10300,100,10/04/03 0:00,S12_3380,29
,Henriette,Pfalzheim,10310,100,10/16/2004 0:00,S12_3380,24
,Christina,Berglund,10320,100,11/03/04 0:00,S12_3380,35
,Kwai,Yu,10329,83.63,11/15/2004 0:00,S12_3380,46
,Georg,Pipps,10341,95.93,11/24/2004 0:00,S12_3380,44
,Kalle,Suominen,10363,96.73,01/06/05 0:00,S12_3380,34
,Leslie,Young,10376,100,02/08/05 0:00,S12_3380,35
,Maria,Larsson,10389,72.38,03/03/05 0:00,S12_3380,25
,Georg,Pipps,10419,100,5/17/2005 0:00,S12_3380,10
,Jytte,Petersen,10105,100,02/11/03 0:00,S12_3891,29
,Eric,Natividad,10117,100,4/16/2003 0:00,S12_3891,39
,Jeff,Young,10127,100,06/03/03 0:00,S12_3891,42
,Valarie,Nelson,10142,100,08/08/03 0:00,S12_3891,46
,Diego,Freyre,10153,100,9/28/2003 0:00,S12_3891,49
,Eric,Natividad,10165,100,10/22/2003 0:00,S12_3891,27
,Maurizio,Moroni,10176,100,11/06/03 0:00,S12_3891,50
,Wing C,Tam,10185,100,11/14/2003 0:00,S12_3891,43
,Leslie,Murphy,10196,100,11/26/2003 0:00,S12_3891,38
,Mary,Saveley,10208,100,01/02/04 0:00,S12_3891,20
,Dean,Cassidy,10220,100,02/12/04 0:00,S12_3891,27
,Jesus,Fernandez,10231,100,3/19/2004 0:00,S12_3891,49
,Kalle,Suominen,10247,100,05/05/04 0:00,S12_3891,27
,Kyung,Yu,10272,100,7/20/2004 0:00,S12_3891,39
,Valarie,Nelson,10282,100,8/20/2004 0:00,S12_3891,24
,Paolo,Accorti,10293,100,09/09/04 0:00,S12_3891,45
,Victoria,Ashworth,10306,100,10/14/2004 0:00,S12_3891,20
,Palle,Ibsen,10314,100,10/22/2004 0:00,S12_3891,36
,Jonas,Bergulfsen,10325,100,11/05/04 0:00,S12_3891,24
,Marie,Bertrand,10336,63.38,11/20/2004 0:00,S12_3891,49
,Jeff,Young,10349,100,12/01/04 0:00,S12_3891,26
,Paul,Henriot,10359,62.09,12/15/2004 0:00,S12_3891,49
,Akiko,Shimamura,10372,100,1/26/2005 0:00,S12_3891,34
,Valarie,Nelson,10382,95.35,2/17/2005 0:00,S12_3891,34
,Valarie,Nelson,10396,100,3/23/2005 0:00,S12_3891,33
,Julie,King,10413,100,05/05/05 0:00,S12_3891,22
,Arnold,Cruz,10108,89.38,03/03/03 0:00,S12_3990,39
,Laurence,Lebihan,10122,63.84,05/08/03 0:00,S12_3990,32
,Valarie,Nelson,10135,75.01,07/02/03 0:00,S12_3990,24
,Allen,Nelson,10147,63.84,09/05/03 0:00,S12_3990,21
,Julie,Brown,10159,73.42,10/10/03 0:00,S12_3990,24
,Anna,O'Hara,10169,63.84,11/04/03 0:00,S12_3990,36
,Veysel,Oeztan,10181,81.4,11/12/03 0:00,S12_3990,20
,Henriette,Pfalzheim,10191,64.64,11/20/2003 0:00,S12_3990,30
,Diego,Freyre,10203,82.99,12/02/03 0:00,S12_3990,44
,Dominique,Perrier,10211,92.57,1/15/2004 0:00,S12_3990,28
,Michael,Holz,10225,77.41,2/22/2004 0:00,S12_3990,37
,Jytte,Petersen,10238,74.21,04/09/04 0:00,S12_3990,20
,Elizabeth,Devon,10253,90.17,06/01/04 0:00,S12_3990,25
,Maurizio,Moroni,10266,76.61,07/06/04 0:00,S12_3990,35
,Miguel,Barajas,10276,83.79,08/02/04 0:00,S12_3990,38
,Michael,Holz,10287,69.43,8/30/2004 0:00,S12_3990,41
,Roland,Keitel,10300,76.61,10/04/03 0:00,S12_3990,22
,Henriette,Pfalzheim,10310,81.4,10/16/2004 0:00,S12_3990,49
,Christina,Berglund,10320,73.42,11/03/04 0:00,S12_3990,38
,Kwai,Yu,10329,100,11/15/2004 0:00,S12_3990,33
,Georg,Pipps,10341,93.56,11/24/2004 0:00,S12_3990,36
,Kalle,Suominen,10363,81.62,01/06/05 0:00,S12_3990,34
,Matti,Karttunen,10377,67.83,02/09/05 0:00,S12_3990,24
,Maria,Larsson,10389,70.26,03/03/05 0:00,S12_3990,36
,Georg,Pipps,10419,90.17,5/17/2005 0:00,S12_3990,34
,Diego,Freyre,10104,100,1/31/2003 0:00,S12_4473,41
,Maria,Hernandez,10115,100,04/04/03 0:00,S12_4473,46
,Jeff,Young,10127,100,06/03/03 0:00,S12_4473,24
,Kalle,Suominen,10141,100,08/01/03 0:00,S12_4473,21
,Pirkko,Koskitalo,10151,100,9/21/2003 0:00,S12_4473,24
,Eric,Natividad,10165,100,10/22/2003 0:00,S12_4473,48
,Ann,Brown,10175,100,11/06/03 0:00,S12_4473,26
,Jose Pedro,Roel,10184,100,11/14/2003 0:00,S12_4473,37
,Steve,Frick,10195,100,11/25/2003 0:00,S12_4473,49
,Valarie,Franco,10207,99.54,12/09/03 0:00,S12_4473,34
,Sue,Taylor,10219,100,02/10/04 0:00,S12_4473,48
,Valarie,Nelson,10229,100,03/11/04 0:00,S12_4473,36
,Diego,Freyre,10246,100,05/05/04 0:00,S12_4473,46
,Wendy,Victorino,10259,100,6/15/2004 0:00,S12_4473,46
,Valarie,Nelson,10271,97.17,7/20/2004 0:00,S12_4473,31
,Kyung,Yu,10281,100,8/19/2004 0:00,S12_4473,41
,Kwai,Yu,10292,100,09/08/04 0:00,S12_4473,21
,Marta,Hernandez,10305,100,10/13/2004 0:00,S12_4473,38
,Palle,Ibsen,10314,100,10/22/2004 0:00,S12_4473,45
,Michael,Frick,10324,58.38,11/05/04 0:00,S12_4473,26
,Marie,Bertrand,10336,100,11/20/2004 0:00,S12_4473,38
,Jeff,Young,10349,100,12/01/04 0:00,S12_4473,48
,Diego,Freyre,10358,64.16,12/10/04 0:00,S12_4473,42
,Valarie,Nelson,10371,35.71,1/23/2005 0:00,S12_4473,49
,Valarie,Nelson,10382,66.58,2/17/2005 0:00,S12_4473,32
,Diego,Freyre,10412,100,05/03/05 0:00,S12_4473,54
,Janine,Labrune,10425,100,5/31/2005 0:00,S12_4473,33
,Arnold,Cruz,10108,100,03/03/03 0:00,S12_4675,36
,Laurence,Lebihan,10122,100,05/08/03 0:00,S12_4675,20
,Valarie,Nelson,10135,97.89,07/02/03 0:00,S12_4675,29
,Allen,Nelson,10147,97.89,09/05/03 0:00,S12_4675,33
,Michael,Chandler,10160,100,10/11/03 0:00,S12_4675,50
,Roland,Mendel,10170,100,11/04/03 0:00,S12_4675,41
,Veysel,Oeztan,10181,100,11/12/03 0:00,S12_4675,36
